id,question_type,sim_graph_answer_to_brainstorm,sim_graph_answer_to_graph,sim_graph_answer_to_patterns,sim_graph_answer_to_synthesis,sim_graph_answer_to_qwen_thinking,sim_graph_answer_to_qwen_answer,closest_source
37,hidden_variable_identification,0.9335918426513672,0.9307587742805481,0.9293901920318604,0.9445611834526062,0.41695666313171387,0.9149982929229736,synthesis
38,model_abstraction_and_breakdown,0.9230217337608337,0.8643237352371216,0.8698245882987976,0.9773544073104858,0.8926780223846436,0.9260861873626709,synthesis
39,tradeoff_and_non_monotonicity,0.9064254760742188,0.9157841205596924,0.8904238343238831,0.9536654949188232,0.4382033944129944,0.919166088104248,synthesis
40,model_abstraction_and_breakdown,0.9293928146362305,0.9125038385391235,0.9162174463272095,0.9682267904281616,0.8492015600204468,0.936736524105072,synthesis
41,hidden_variable_identification,0.9091264605522156,0.8887473344802856,0.8871324062347412,0.9673651456832886,0.9138525128364563,0.8996784687042236,synthesis
42,hidden_variable_identification,0.9565778374671936,0.8758041262626648,0.8718072175979614,0.9395849704742432,0.9249151945114136,0.8881979584693909,brainstorm
43,hidden_variable_identification,0.9330461025238037,0.8988878130912781,0.8526914715766907,0.9365597367286682,0.909530520439148,0.9293976426124573,synthesis
44,hidden_variable_identification,0.8991618752479553,0.9216991662979126,0.9202054738998413,0.9364453554153442,0.9070535898208618,0.9528787732124329,qwen_answer
45,hidden_variable_identification,0.9267528057098389,0.9056485891342163,0.8572186231613159,0.979875922203064,0.4211931526660919,0.892711877822876,synthesis
46,model_abstraction_and_breakdown,0.8969797492027283,0.9148173332214355,0.8803513646125793,0.9994128346443176,0.8556873798370361,0.9040818214416504,synthesis
47,model_abstraction_and_breakdown,0.9100722670555115,0.8929686546325684,0.8536889553070068,0.9554339647293091,0.8968816995620728,0.9452736377716064,synthesis
48,model_abstraction_and_breakdown,0.9314424395561218,0.9305098056793213,0.8949803113937378,0.9707959294319153,0.9028276205062866,0.9148414134979248,synthesis
49,tradeoff_and_non_monotonicity,0.9296675324440002,0.8945233821868896,0.8914573192596436,0.983206570148468,0.888248085975647,0.9266500473022461,synthesis
50,hidden_variable_identification,0.9515010118484497,0.919718861579895,0.9041950106620789,0.9811071753501892,0.42488333582878113,0.8793494701385498,synthesis
51,tradeoff_and_non_monotonicity,0.9132198095321655,0.9124673008918762,0.8187793493270874,0.9436724781990051,0.9261471629142761,0.9321889877319336,synthesis
52,hidden_variable_identification,0.9066075086593628,0.949221670627594,0.9212477803230286,0.9598062038421631,0.8913671374320984,0.9395308494567871,synthesis
53,hidden_variable_identification,0.8960533142089844,0.8981412053108215,0.8658810257911682,1.0,0.8069101572036743,0.8936660289764404,synthesis
54,model_abstraction_and_breakdown,0.9498856067657471,0.9257853031158447,0.8874943852424622,0.9419628977775574,0.8896240592002869,0.9154692888259888,brainstorm
55,hidden_variable_identification,0.8925819396972656,0.8564918637275696,0.8777354955673218,0.9580050110816956,0.4050378203392029,0.8394700288772583,synthesis
56,model_abstraction_and_breakdown,0.9601407051086426,0.9324581027030945,0.8870749473571777,0.9837884902954102,0.9252259731292725,0.9510064721107483,synthesis
57,hidden_variable_identification,0.9117192625999451,0.9461694955825806,0.9308277368545532,0.9531633257865906,0.8983826637268066,0.6917270421981812,synthesis
58,tradeoff_and_non_monotonicity,0.9368892312049866,0.9114344120025635,0.8915494680404663,0.963250994682312,0.9182489514350891,0.9535214900970459,synthesis
59,hidden_variable_identification,0.9273909330368042,0.9183758497238159,0.8689830303192139,0.9793288707733154,0.8931660056114197,0.9296354055404663,synthesis
60,hidden_variable_identification,0.926988422870636,0.862181544303894,0.8833740949630737,0.9217121601104736,0.4162987172603607,0.917809009552002,brainstorm
61,hidden_variable_identification,0.9403430223464966,0.8587995767593384,0.9088569283485413,0.9662157297134399,0.929599940776825,0.9073710441589355,synthesis
62,tradeoff_and_non_monotonicity,0.9006160497665405,0.9141048192977905,0.8745321035385132,0.9390655755996704,0.9284308552742004,0.9344384670257568,synthesis
63,hidden_variable_identification,0.9450268149375916,0.8690004944801331,0.8478677272796631,0.958526611328125,0.4124003052711487,0.8655275702476501,synthesis
64,hidden_variable_identification,0.9235936403274536,0.9285877346992493,0.8990687131881714,0.9733992218971252,0.41877567768096924,0.843611478805542,synthesis
65,hidden_variable_identification,0.951285183429718,0.8814233541488647,0.8774897456169128,0.9798569083213806,0.9215458631515503,0.8848549127578735,synthesis
66,tradeoff_and_non_monotonicity,0.9519006013870239,0.9084676504135132,0.8730483055114746,0.9746443033218384,0.8856093883514404,0.9441205263137817,synthesis
67,hidden_variable_identification,0.9384884834289551,0.9013546109199524,0.9049772024154663,0.9746710062026978,0.910897970199585,0.9204018115997314,synthesis
68,model_abstraction_and_breakdown,0.9452237486839294,0.8641743063926697,0.8699356317520142,0.9724528193473816,0.9269199371337891,0.9622050523757935,synthesis
69,hidden_variable_identification,0.9096076488494873,0.9397547245025635,0.9141063690185547,0.9701012372970581,0.8755490779876709,0.8516829013824463,synthesis
70,hidden_variable_identification,0.9120382070541382,0.9259505867958069,0.9317712783813477,0.9747072458267212,0.401515930891037,0.8937866687774658,synthesis
71,model_abstraction_and_breakdown,0.9145432710647583,0.9227526783943176,0.8662530183792114,0.9568256139755249,0.8463492393493652,0.9316165447235107,synthesis
72,hidden_variable_identification,0.9190634489059448,0.902468204498291,0.8932272791862488,0.9739062190055847,0.9087865352630615,0.9708030223846436,synthesis
73,hidden_variable_identification,0.8911179304122925,0.9462864398956299,0.8898357152938843,0.9485552310943604,0.8945825099945068,0.8935537338256836,synthesis
74,hidden_variable_identification,0.9220684170722961,0.9619790315628052,0.9120198488235474,0.988153338432312,0.9013538956642151,0.933516800403595,synthesis
75,hidden_variable_identification,0.9126768112182617,0.8560946583747864,0.8912943601608276,0.9681135416030884,0.8363065719604492,0.9361436367034912,synthesis
76,hidden_variable_identification,0.9329323768615723,0.9124396443367004,0.9061408042907715,0.9938352108001709,0.9130735993385315,0.9475448131561279,synthesis
77,hidden_variable_identification,0.9514366984367371,0.9210306406021118,0.8901855945587158,0.9574958086013794,0.8931875824928284,0.9268996715545654,synthesis
78,tradeoff_and_non_monotonicity,0.883828341960907,0.8524150848388672,0.8743509650230408,0.985318124294281,0.8916663527488708,0.9247130155563354,synthesis
79,model_abstraction_and_breakdown,0.966078519821167,0.896105170249939,0.9043272733688354,0.9764055013656616,0.9109396934509277,0.9617904424667358,synthesis
80,model_abstraction_and_breakdown,0.8847050070762634,0.8879400491714478,0.8895025253295898,0.9346663355827332,0.8966683149337769,0.9406564235687256,qwen_answer
81,tradeoff_and_non_monotonicity,0.9612992405891418,0.8789025545120239,0.8602300882339478,0.9759868383407593,0.9097269773483276,0.9088874459266663,synthesis
82,hidden_variable_identification,0.939125120639801,0.9521582722663879,0.9120650291442871,0.9535408616065979,0.9079225063323975,0.9581798911094666,qwen_answer
83,hidden_variable_identification,0.9497461915016174,0.9235978126525879,0.9200618863105774,0.9414980411529541,0.8840949535369873,0.9463707208633423,brainstorm
84,model_abstraction_and_breakdown,0.9282559156417847,0.8624337911605835,0.8861371278762817,0.9665184617042542,0.8795129060745239,0.9468148946762085,synthesis
85,hidden_variable_identification,0.9402658939361572,0.9630419015884399,0.9639626741409302,0.9656194448471069,0.9291006326675415,0.9486571550369263,synthesis
86,tradeoff_and_non_monotonicity,0.9213004112243652,0.919962465763092,0.8899524211883545,0.913908839225769,0.9023580551147461,0.9772864580154419,qwen_answer
87,hidden_variable_identification,0.9480286836624146,0.9328547716140747,0.8684546947479248,0.9755617380142212,0.915445864200592,0.9514675140380859,synthesis
88,hidden_variable_identification,0.9079879522323608,0.9339932203292847,0.8413563966751099,0.9685378074645996,0.8879995346069336,0.9312664270401001,synthesis
89,hidden_variable_identification,0.8878406882286072,0.92502760887146,0.8956165313720703,0.9634535312652588,0.8692905902862549,0.9006304740905762,synthesis
90,hidden_variable_identification,0.9181790351867676,0.9441417455673218,0.9121290445327759,0.9558520913124084,0.9345604181289673,0.9332266449928284,synthesis
91,hidden_variable_identification,0.9198570251464844,0.9163211584091187,0.9362958669662476,0.9738281965255737,0.9093870520591736,0.9218702912330627,synthesis
92,hidden_variable_identification,0.91556316614151,0.8852402567863464,0.8721280097961426,0.9711662530899048,0.89497971534729,0.9425786733627319,synthesis
93,hidden_variable_identification,0.9276463985443115,0.9465665817260742,0.9298950433731079,0.9597573280334473,0.8990749716758728,0.936608076095581,synthesis
94,hidden_variable_identification,0.936882495880127,0.9364088773727417,0.9252992868423462,0.9755954742431641,0.8963347673416138,0.9142499566078186,synthesis
95,hidden_variable_identification,0.8965078592300415,0.943510890007019,0.9327561855316162,0.9631708860397339,0.8839088082313538,0.9510524272918701,synthesis
96,hidden_variable_identification,0.946375846862793,0.9649066925048828,0.9210832118988037,0.9334314465522766,0.46652573347091675,0.9203421473503113,graph
97,tradeoff_and_non_monotonicity,0.9329690933227539,0.8886440992355347,0.8305366039276123,0.9757577180862427,0.9201512932777405,0.9264465570449829,synthesis
98,model_abstraction_and_breakdown,0.9051098823547363,0.9328176975250244,0.9319965839385986,0.9512922763824463,0.87706458568573,0.913954496383667,synthesis
99,hidden_variable_identification,0.9415292739868164,0.9399580955505371,0.9029688239097595,0.9789520502090454,0.4583154618740082,0.9407483339309692,synthesis
