id,question_type,condition,emb_sim_to_normal,mech_f1_to_normal,graph_support,token_f1_to_normal
13,hidden_variable_identification,no_tags,0.9517,0.5000,0.5606,0.6735
13,hidden_variable_identification,shuffled_tags,0.9503,0.4444,0.5909,0.6754
14,hidden_variable_identification,normal,1.0,1.0,0.5060,1.0
14,hidden_variable_identification,shuffled_content,0.9697,0.6154,0.6726,0.5742
14,hidden_variable_identification,no_tags,0.9681,0.5455,0.7024,0.5968
14,hidden_variable_identification,shuffled_tags,0.9755,0.6667,0.5714,0.6326
15,hidden_variable_identification,normal,1.0,1.0,0.6167,1.0
15,hidden_variable_identification,shuffled_content,0.9559,0.6667,0.6000,0.6405
15,hidden_variable_identification,no_tags,0.9613,0.6667,0.5667,0.5931
15,hidden_variable_identification,shuffled_tags,0.9496,0.7273,0.4750,0.5461
16,model_abstraction_and_breakdown,normal,1.0,1.0,0.6794,1.0
16,model_abstraction_and_breakdown,shuffled_content,0.9684,0.7273,0.6718,0.8014
16,model_abstraction_and_breakdown,no_tags,0.9754,0.8000,0.7176,0.8123
16,model_abstraction_and_breakdown,shuffled_tags,0.9760,0.8000,0.6107,0.7762
17,hidden_variable_identification,normal,1.0,1.0,0.6552,1.0
17,hidden_variable_identification,shuffled_content,0.9767,0.6154,0.5862,0.6313
17,hidden_variable_identification,no_tags,0.9477,0.6154,0.5115,0.5802
17,hidden_variable_identification,shuffled_tags,0.9521,0.6667,0.6379,0.6439
18,hidden_variable_identification,normal,1.0,1.0,0.6212,1.0
18,hidden_variable_identification,shuffled_content,0.9806,0.6667,0.5000,0.5714
18,hidden_variable_identification,no_tags,0.9816,0.2857,0.5455,0.5874
18,hidden_variable_identification,shuffled_tags,0.9756,0.4444,0.5682,0.5986
19,model_abstraction_and_breakdown,normal,1.0,1.0,0.7842,1.0
19,model_abstraction_and_breakdown,shuffled_content,0.9786,0.6667,0.7626,0.7259
19,model_abstraction_and_breakdown,no_tags,0.9556,0.7273,0.6906,0.6722
19,model_abstraction_and_breakdown,shuffled_tags,0.9547,0.6000,0.6187,0.6551
20,hidden_variable_identification,normal,1.0,1.0,0.6688,1.0
20,hidden_variable_identification,shuffled_content,0.9752,0.2222,0.5325,0.6041
20,hidden_variable_identification,no_tags,0.9655,0.1818,0.5130,0.5583
20,hidden_variable_identification,shuffled_tags,0.9668,0.6154,0.6364,0.5967
21,hidden_variable_identification,normal,1.0,1.0,0.6089,1.0
21,hidden_variable_identification,shuffled_content,0.9117,0.6667,0.4693,0.5376
21,hidden_variable_identification,no_tags,0.9109,0.4000,0.4358,0.5210
21,hidden_variable_identification,shuffled_tags,0.9145,0.4000,0.4022,0.4954
22,hidden_variable_identification,normal,1.0,1.0,0.7153,1.0
22,hidden_variable_identification,shuffled_content,0.9542,0.5714,0.6350,0.6754
22,hidden_variable_identification,no_tags,0.9813,0.8571,0.7007,0.7089
22,hidden_variable_identification,shuffled_tags,0.9739,0.6667,0.5985,0.6528
23,model_abstraction_and_breakdown,normal,1.0,1.0,0.7117,1.0
23,model_abstraction_and_breakdown,shuffled_content,0.9861,0.7500,0.6442,0.7523
23,model_abstraction_and_breakdown,no_tags,0.9741,0.6667,0.6074,0.7214
23,model_abstraction_and_breakdown,shuffled_tags,0.9702,0.8889,0.6196,0.7349
24,hidden_variable_identification,normal,1.0,1.0,0.6930,1.0
24,hidden_variable_identification,shuffled_content,0.9696,0.5714,0.5175,0.5348
24,hidden_variable_identification,no_tags,0.9695,0.5714,0.5000,0.5018
24,hidden_variable_identification,shuffled_tags,0.9700,0.4615,0.6316,0.5103
25,hidden_variable_identification,normal,1.0,1.0,0.5337,1.0
25,hidden_variable_identification,shuffled_content,0.9768,0.4000,0.4944,0.5241
25,hidden_variable_identification,no_tags,0.9781,0.0000,0.5562,0.5341
25,hidden_variable_identification,shuffled_tags,0.9797,0.5000,0.5000,0.5801
26,hidden_variable_identification,normal,1.0,1.0,0.5938,1.0
26,hidden_variable_identification,shuffled_content,0.9803,0.4000,0.6741,0.6995
26,hidden_variable_identification,no_tags,0.9769,0.6667,0.6384,0.7195
26,hidden_variable_identification,shuffled_tags,0.9753,0.6667,0.6250,0.6705
27,hidden_variable_identification,normal,1.0,1.0,0.5575,1.0
27,hidden_variable_identification,shuffled_content,0.9687,0.4444,0.6437,0.6209
27,hidden_variable_identification,no_tags,0.9723,0.4000,0.6782,0.5529
27,hidden_variable_identification,shuffled_tags,0.9683,0.4444,0.6667,0.5552
28,model_abstraction_and_breakdown,normal,1.0,1.0,0.6816,1.0
28,model_abstraction_and_breakdown,shuffled_content,0.9853,0.6667,0.6872,0.7198
28,model_abstraction_and_breakdown,no_tags,0.9808,0.6000,0.7207,0.7383
28,model_abstraction_and_breakdown,shuffled_tags,0.9829,0.6667,0.7039,0.7293
29,hidden_variable_identification,normal,1.0,1.0,0.7669,1.0
29,hidden_variable_identification,shuffled_content,0.9856,0.5714,0.6316,0.7299
29,hidden_variable_identification,no_tags,0.9797,0.5455,0.6090,0.7148
29,hidden_variable_identification,shuffled_tags,0.9791,0.6000,0.6241,0.7331
30,model_abstraction_and_breakdown,normal,1.0,1.0,0.6567,1.0
30,model_abstraction_and_breakdown,shuffled_content,0.9481,0.5000,0.6194,0.6292
30,model_abstraction_and_breakdown,no_tags,0.9643,0.5000,0.6269,0.6595
30,model_abstraction_and_breakdown,shuffled_tags,0.9478,0.6667,0.6045,0.6242
31,model_abstraction_and_breakdown,normal,1.0,1.0,0.6565,1.0
31,model_abstraction_and_breakdown,shuffled_content,0.9566,0.4000,0.7710,0.6305
31,model_abstraction_and_breakdown,no_tags,0.9567,0.4000,0.7786,0.6627
31,model_abstraction_and_breakdown,shuffled_tags,0.9745,0.5000,0.7252,0.6312
32,tradeoff_and_non_monotonicity,normal,1.0,1.0,0.5879,1.0
32,tradeoff_and_non_monotonicity,shuffled_content,0.9756,0.4444,0.6319,0.7130
32,tradeoff_and_non_monotonicity,no_tags,0.9745,0.6000,0.5659,0.7245
32,tradeoff_and_non_monotonicity,shuffled_tags,0.9766,0.5000,0.6978,0.7530
33,tradeoff_and_non_monotonicity,normal,1.0,1.0,0.5817,1.0
33,tradeoff_and_non_monotonicity,shuffled_content,0.9729,0.4000,0.5882,0.6048
33,tradeoff_and_non_monotonicity,no_tags,0.9704,0.2500,0.5817,0.6116
33,tradeoff_and_non_monotonicity,shuffled_tags,0.9646,0.4000,0.4706,0.5830
34,hidden_variable_identification,normal,1.0,1.0,0.7203,1.0
34,hidden_variable_identification,shuffled_content,0.9675,0.7500,0.7203,0.6957
34,hidden_variable_identification,no_tags,0.9663,0.6667,0.7483,0.6711
34,hidden_variable_identification,shuffled_tags,0.9645,0.6667,0.6783,0.6735
35,hidden_variable_identification,normal,1.0,1.0,0.6554,1.0
35,hidden_variable_identification,shuffled_content,0.9640,0.0000,0.5270,0.5972
35,hidden_variable_identification,no_tags,0.9677,0.0000,0.5270,0.5674
35,hidden_variable_identification,shuffled_tags,0.9572,0.0000,0.4730,0.5231
36,tradeoff_and_non_monotonicity,normal,1.0,1.0,0.6266,1.0
36,tradeoff_and_non_monotonicity,shuffled_content,0.9766,0.4444,0.5696,0.5743
36,tradeoff_and_non_monotonicity,no_tags,0.9748,0.4444,0.5949,0.7034
36,tradeoff_and_non_monotonicity,shuffled_tags,0.9786,0.2857,0.5190,0.6209
37,hidden_variable_identification,normal,1.0,1.0,0.6023,1.0
37,hidden_variable_identification,shuffled_content,0.9541,0.5714,0.5614,0.6796
37,hidden_variable_identification,no_tags,0.9802,0.5000,0.6491,0.6586
37,hidden_variable_identification,shuffled_tags,0.9651,0.5714,0.6784,0.6667
38,model_abstraction_and_breakdown,normal,1.0,1.0,0.6923,1.0
38,model_abstraction_and_breakdown,shuffled_content,0.9597,0.6000,0.4462,0.5578
38,model_abstraction_and_breakdown,no_tags,0.9603,0.4000,0.5538,0.6051
38,model_abstraction_and_breakdown,shuffled_tags,0.9571,0.4000,0.5154,0.5325
39,tradeoff_and_non_monotonicity,normal,1.0,1.0,0.5743,1.0
39,tradeoff_and_non_monotonicity,shuffled_content,0.9502,0.5000,0.6081,0.6243
39,tradeoff_and_non_monotonicity,no_tags,0.9442,0.9091,0.5676,0.5629
39,tradeoff_and_non_monotonicity,shuffled_tags,0.9474,0.7273,0.6351,0.6257
