id,question_type,source_stage,target_stage,layer,path_effect_emb,path_effect_mech
0,cross_domain_mapping,synthesis,answer,0,0.6738,0.5714
0,cross_domain_mapping,synthesis,answer,1,0.9559,0.5714
0,cross_domain_mapping,synthesis,answer,2,0.9543,0.5714
0,cross_domain_mapping,synthesis,answer,3,0.9414,0.5714
0,cross_domain_mapping,synthesis,answer,4,0.9339,0.5714
0,cross_domain_mapping,synthesis,answer,5,0.9465,0.5714
0,cross_domain_mapping,synthesis,answer,6,0.9499,0.5714
0,cross_domain_mapping,synthesis,answer,7,0.9479,0.5714
0,cross_domain_mapping,synthesis,answer,8,0.9351,0.5714
0,cross_domain_mapping,synthesis,answer,9,0.9205,0.5714
0,cross_domain_mapping,synthesis,answer,10,0.9111,0.5714
0,cross_domain_mapping,synthesis,answer,20,0.8642,0.5714
0,cross_domain_mapping,synthesis,answer,21,0.8671,0.5714
0,cross_domain_mapping,synthesis,answer,22,0.8433,0.5714
0,cross_domain_mapping,synthesis,answer,23,0.8358,0.5714
0,cross_domain_mapping,synthesis,answer,24,0.8316,0.5714
0,cross_domain_mapping,synthesis,answer,28,0.8863,0.5714
0,cross_domain_mapping,synthesis,answer,29,0.8915,0.5714
0,cross_domain_mapping,synthesis,answer,30,0.9075,0.5714
0,cross_domain_mapping,synthesis,answer,31,0.9226,0.5714
0,cross_domain_mapping,synthesis,answer,32,0.9335,0.5714
0,cross_domain_mapping,synthesis,answer,36,0.7728,0.5714
0,cross_domain_mapping,brainstorm,answer,0,0.6992,0.5714
0,cross_domain_mapping,brainstorm,answer,1,0.9648,0.5714
0,cross_domain_mapping,brainstorm,answer,2,0.9618,0.5714
0,cross_domain_mapping,brainstorm,answer,3,0.9478,0.5714
0,cross_domain_mapping,brainstorm,answer,4,0.9446,0.5714
0,cross_domain_mapping,brainstorm,answer,5,0.9577,0.5714
0,cross_domain_mapping,brainstorm,answer,6,0.9632,0.5714
0,cross_domain_mapping,brainstorm,answer,7,0.1549,0.5714
0,cross_domain_mapping,brainstorm,answer,8,0.1820,0.5714
0,cross_domain_mapping,brainstorm,answer,9,0.2014,0.5714
0,cross_domain_mapping,brainstorm,answer,10,0.2249,0.5714
0,cross_domain_mapping,brainstorm,answer,20,0.4444,0.5714
0,cross_domain_mapping,brainstorm,answer,21,0.4662,0.5714
0,cross_domain_mapping,brainstorm,answer,22,0.4699,0.5714
0,cross_domain_mapping,brainstorm,answer,23,0.5073,0.5714
0,cross_domain_mapping,brainstorm,answer,24,0.5644,0.5714
0,cross_domain_mapping,brainstorm,answer,28,0.7351,0.5714
0,cross_domain_mapping,brainstorm,answer,29,0.7680,0.5714
0,cross_domain_mapping,brainstorm,answer,30,0.7990,0.5714
0,cross_domain_mapping,brainstorm,answer,31,0.8319,0.5714
0,cross_domain_mapping,brainstorm,answer,32,0.8551,0.5714
0,cross_domain_mapping,brainstorm,answer,36,0.8269,0.5714
0,cross_domain_mapping,graph,answer,0,0.6899,0.5714
0,cross_domain_mapping,graph,answer,1,0.9630,0.5714
0,cross_domain_mapping,graph,answer,2,0.9576,0.5714
0,cross_domain_mapping,graph,answer,3,0.9495,0.5714
0,cross_domain_mapping,graph,answer,4,0.9438,0.5714
0,cross_domain_mapping,graph,answer,5,0.9576,0.5714
0,cross_domain_mapping,graph,answer,6,0.9620,0.5714
0,cross_domain_mapping,graph,answer,7,0.9610,0.5714
0,cross_domain_mapping,graph,answer,8,0.9490,0.5714
0,cross_domain_mapping,graph,answer,9,0.9395,0.5714
0,cross_domain_mapping,graph,answer,10,0.9360,0.5714
0,cross_domain_mapping,graph,answer,20,0.9050,0.5714
0,cross_domain_mapping,graph,answer,21,0.9129,0.5714
0,cross_domain_mapping,graph,answer,22,0.9005,0.5714
0,cross_domain_mapping,graph,answer,23,0.8959,0.5714
0,cross_domain_mapping,graph,answer,24,0.8893,0.5714
0,cross_domain_mapping,graph,answer,28,0.9256,0.5714
0,cross_domain_mapping,graph,answer,29,0.9294,0.5714
0,cross_domain_mapping,graph,answer,30,0.9406,0.5714
0,cross_domain_mapping,graph,answer,31,0.9503,0.5714
0,cross_domain_mapping,graph,answer,32,0.9581,0.5714
0,cross_domain_mapping,graph,answer,36,0.9221,0.5714
1,cross_domain_mapping,graph,synthesis,0,0.5977,0.0000
1,cross_domain_mapping,graph,synthesis,1,0.9552,0.0000
1,cross_domain_mapping,graph,synthesis,2,0.9573,0.0000
1,cross_domain_mapping,graph,synthesis,3,0.9508,0.0000
1,cross_domain_mapping,graph,synthesis,4,0.9411,0.0000
1,cross_domain_mapping,graph,synthesis,5,0.9497,0.0000
1,cross_domain_mapping,graph,synthesis,6,0.9575,0.0000
1,cross_domain_mapping,graph,synthesis,7,0.9568,0.0000
1,cross_domain_mapping,graph,synthesis,8,0.9481,0.0000
1,cross_domain_mapping,graph,synthesis,9,0.9391,0.0000
1,cross_domain_mapping,graph,synthesis,10,0.9343,0.0000
1,cross_domain_mapping,graph,synthesis,20,0.8683,0.0000
1,cross_domain_mapping,graph,synthesis,21,0.8756,0.0000
1,cross_domain_mapping,graph,synthesis,22,0.8517,0.0000
1,cross_domain_mapping,graph,synthesis,23,0.8390,0.0000
1,cross_domain_mapping,graph,synthesis,24,0.8410,0.0000
1,cross_domain_mapping,graph,synthesis,28,0.8995,0.0000
1,cross_domain_mapping,graph,synthesis,29,0.9078,0.0000
1,cross_domain_mapping,graph,synthesis,30,0.9225,0.0000
1,cross_domain_mapping,graph,synthesis,31,0.9360,0.0000
1,cross_domain_mapping,graph,synthesis,32,0.9470,0.0000
1,cross_domain_mapping,graph,synthesis,36,0.5849,0.0000
1,cross_domain_mapping,patterns,synthesis,0,0.5746,0.0000
1,cross_domain_mapping,patterns,synthesis,1,0.9545,0.0000
1,cross_domain_mapping,patterns,synthesis,2,0.9602,0.0000
1,cross_domain_mapping,patterns,synthesis,3,0.9486,0.0000
1,cross_domain_mapping,patterns,synthesis,4,0.9395,0.0000
1,cross_domain_mapping,patterns,synthesis,5,0.9560,0.0000
1,cross_domain_mapping,patterns,synthesis,6,0.9625,0.0000
1,cross_domain_mapping,patterns,synthesis,7,0.9634,0.0000
1,cross_domain_mapping,patterns,synthesis,8,0.9553,0.0000
1,cross_domain_mapping,patterns,synthesis,9,0.9481,0.0000
1,cross_domain_mapping,patterns,synthesis,10,0.9427,0.0000
1,cross_domain_mapping,patterns,synthesis,20,0.8807,0.0000
1,cross_domain_mapping,patterns,synthesis,21,0.8861,0.0000
1,cross_domain_mapping,patterns,synthesis,22,0.8673,0.0000
1,cross_domain_mapping,patterns,synthesis,23,0.8573,0.0000
1,cross_domain_mapping,patterns,synthesis,24,0.8600,0.0000
1,cross_domain_mapping,patterns,synthesis,28,0.9070,0.0000
1,cross_domain_mapping,patterns,synthesis,29,0.9154,0.0000
1,cross_domain_mapping,patterns,synthesis,30,0.9300,0.0000
1,cross_domain_mapping,patterns,synthesis,31,0.9426,0.0000
1,cross_domain_mapping,patterns,synthesis,32,0.9509,0.0000
1,cross_domain_mapping,patterns,synthesis,36,0.5516,0.0000
1,cross_domain_mapping,synthesis,answer,0,0.8013,0.0000
1,cross_domain_mapping,synthesis,answer,1,0.9614,0.0000
1,cross_domain_mapping,synthesis,answer,2,0.9673,0.0000
1,cross_domain_mapping,synthesis,answer,3,0.9630,0.0000
1,cross_domain_mapping,synthesis,answer,4,0.9600,0.0000
1,cross_domain_mapping,synthesis,answer,5,0.9707,0.0000
1,cross_domain_mapping,synthesis,answer,6,0.9736,0.0000
1,cross_domain_mapping,synthesis,answer,7,0.9728,0.0000
1,cross_domain_mapping,synthesis,answer,8,0.9684,0.0000
1,cross_domain_mapping,synthesis,answer,9,0.9646,0.0000
1,cross_domain_mapping,synthesis,answer,10,0.9620,0.0000
1,cross_domain_mapping,synthesis,answer,20,0.9542,0.0000
1,cross_domain_mapping,synthesis,answer,21,0.9580,0.0000
1,cross_domain_mapping,synthesis,answer,22,0.9532,0.0000
1,cross_domain_mapping,synthesis,answer,23,0.9519,0.0000
1,cross_domain_mapping,synthesis,answer,24,0.9508,0.0000
1,cross_domain_mapping,synthesis,answer,28,0.9644,0.0000
1,cross_domain_mapping,synthesis,answer,29,0.9657,0.0000
1,cross_domain_mapping,synthesis,answer,30,0.9704,0.0000
1,cross_domain_mapping,synthesis,answer,31,0.9749,0.0000
1,cross_domain_mapping,synthesis,answer,32,0.9782,0.0000
1,cross_domain_mapping,synthesis,answer,36,0.9396,0.0000
1,cross_domain_mapping,brainstorm,answer,0,0.6440,0.0000
1,cross_domain_mapping,brainstorm,answer,1,0.9597,0.0000
1,cross_domain_mapping,brainstorm,answer,2,0.9589,0.0000
1,cross_domain_mapping,brainstorm,answer,3,0.9491,0.0000
1,cross_domain_mapping,brainstorm,answer,4,0.9407,0.0000
1,cross_domain_mapping,brainstorm,answer,5,0.9534,0.0000
1,cross_domain_mapping,brainstorm,answer,6,0.9574,0.0000
1,cross_domain_mapping,brainstorm,answer,7,0.1584,0.0000
1,cross_domain_mapping,brainstorm,answer,8,0.1801,0.0000
1,cross_domain_mapping,brainstorm,answer,9,0.1885,0.0000
1,cross_domain_mapping,brainstorm,answer,10,0.2085,0.0000
1,cross_domain_mapping,brainstorm,answer,20,0.4193,0.0000
1,cross_domain_mapping,brainstorm,answer,21,0.4438,0.0000
1,cross_domain_mapping,brainstorm,answer,22,0.4512,0.0000
1,cross_domain_mapping,brainstorm,answer,23,0.4865,0.0000
1,cross_domain_mapping,brainstorm,answer,24,0.5517,0.0000
1,cross_domain_mapping,brainstorm,answer,28,0.7270,0.0000
1,cross_domain_mapping,brainstorm,answer,29,0.7546,0.0000
1,cross_domain_mapping,brainstorm,answer,30,0.7908,0.0000
1,cross_domain_mapping,brainstorm,answer,31,0.8236,0.0000
1,cross_domain_mapping,brainstorm,answer,32,0.8459,0.0000
1,cross_domain_mapping,brainstorm,answer,36,0.8879,0.0000
1,cross_domain_mapping,graph,answer,0,0.7956,0.0000
1,cross_domain_mapping,graph,answer,1,0.9651,0.0000
1,cross_domain_mapping,graph,answer,2,0.9643,0.0000
1,cross_domain_mapping,graph,answer,3,0.9593,0.0000
1,cross_domain_mapping,graph,answer,4,0.9534,0.0000
1,cross_domain_mapping,graph,answer,5,0.9644,0.0000
1,cross_domain_mapping,graph,answer,6,0.9678,0.0000
1,cross_domain_mapping,graph,answer,7,0.9656,0.0000
1,cross_domain_mapping,graph,answer,8,0.9566,0.0000
1,cross_domain_mapping,graph,answer,9,0.9490,0.0000
1,cross_domain_mapping,graph,answer,10,0.9453,0.0000
1,cross_domain_mapping,graph,answer,20,0.9026,0.0000
1,cross_domain_mapping,graph,answer,21,0.9057,0.0000
1,cross_domain_mapping,graph,answer,22,0.8892,0.0000
1,cross_domain_mapping,graph,answer,23,0.8876,0.0000
1,cross_domain_mapping,graph,answer,24,0.8865,0.0000
1,cross_domain_mapping,graph,answer,28,0.9271,0.0000
1,cross_domain_mapping,graph,answer,29,0.9290,0.0000
1,cross_domain_mapping,graph,answer,30,0.9402,0.0000
1,cross_domain_mapping,graph,answer,31,0.9501,0.0000
1,cross_domain_mapping,graph,answer,32,0.9560,0.0000
1,cross_domain_mapping,graph,answer,36,0.8918,0.0000
2,causal_multiscale_reasoning,graph,synthesis,0,0.6748,0.8000
2,causal_multiscale_reasoning,graph,synthesis,1,0.9700,0.8000
2,causal_multiscale_reasoning,graph,synthesis,2,0.9699,0.8000
2,causal_multiscale_reasoning,graph,synthesis,3,0.9661,0.8000
2,causal_multiscale_reasoning,graph,synthesis,4,0.9607,0.8000
2,causal_multiscale_reasoning,graph,synthesis,5,0.9682,0.8000
2,causal_multiscale_reasoning,graph,synthesis,6,0.9731,0.8000
2,causal_multiscale_reasoning,graph,synthesis,7,0.9744,0.8000
2,causal_multiscale_reasoning,graph,synthesis,8,0.9660,0.8000
2,causal_multiscale_reasoning,graph,synthesis,9,0.9604,0.8000
2,causal_multiscale_reasoning,graph,synthesis,10,0.9569,0.8000
2,causal_multiscale_reasoning,graph,synthesis,20,0.9035,0.8000
2,causal_multiscale_reasoning,graph,synthesis,21,0.9072,0.8000
2,causal_multiscale_reasoning,graph,synthesis,22,0.8929,0.8000
2,causal_multiscale_reasoning,graph,synthesis,23,0.8790,0.8000
2,causal_multiscale_reasoning,graph,synthesis,24,0.8861,0.8000
2,causal_multiscale_reasoning,graph,synthesis,28,0.9358,0.8000
2,causal_multiscale_reasoning,graph,synthesis,29,0.9408,0.8000
2,causal_multiscale_reasoning,graph,synthesis,30,0.9503,0.8000
2,causal_multiscale_reasoning,graph,synthesis,31,0.9582,0.8000
2,causal_multiscale_reasoning,graph,synthesis,32,0.9658,0.8000
2,causal_multiscale_reasoning,graph,synthesis,36,0.8882,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,0,0.6561,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,1,0.9771,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,2,0.9778,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,3,0.9736,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,4,0.9688,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,5,0.9752,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,6,0.9799,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,7,0.9804,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,8,0.9731,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,9,0.9679,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,10,0.9681,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,20,0.9199,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,21,0.9213,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,22,0.9062,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,23,0.8933,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,24,0.8969,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,28,0.9377,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,29,0.9427,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,30,0.9525,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,31,0.9594,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,32,0.9666,0.8000
2,causal_multiscale_reasoning,patterns,synthesis,36,0.8774,0.8000
2,causal_multiscale_reasoning,synthesis,answer,0,0.6657,0.8000
2,causal_multiscale_reasoning,synthesis,answer,1,0.9664,0.8000
2,causal_multiscale_reasoning,synthesis,answer,2,0.9706,0.8000
2,causal_multiscale_reasoning,synthesis,answer,3,0.9692,0.8000
2,causal_multiscale_reasoning,synthesis,answer,4,0.9609,0.8000
2,causal_multiscale_reasoning,synthesis,answer,5,0.9693,0.8000
2,causal_multiscale_reasoning,synthesis,answer,6,0.9741,0.8000
2,causal_multiscale_reasoning,synthesis,answer,7,0.9753,0.8000
2,causal_multiscale_reasoning,synthesis,answer,8,0.9697,0.8000
2,causal_multiscale_reasoning,synthesis,answer,9,0.9651,0.8000
2,causal_multiscale_reasoning,synthesis,answer,10,0.9626,0.8000
2,causal_multiscale_reasoning,synthesis,answer,20,0.9181,0.8000
2,causal_multiscale_reasoning,synthesis,answer,21,0.9206,0.8000
2,causal_multiscale_reasoning,synthesis,answer,22,0.9102,0.8000
2,causal_multiscale_reasoning,synthesis,answer,23,0.8984,0.8000
2,causal_multiscale_reasoning,synthesis,answer,24,0.9024,0.8000
2,causal_multiscale_reasoning,synthesis,answer,28,0.9389,0.8000
2,causal_multiscale_reasoning,synthesis,answer,29,0.9413,0.8000
2,causal_multiscale_reasoning,synthesis,answer,30,0.9499,0.8000
2,causal_multiscale_reasoning,synthesis,answer,31,0.9566,0.8000
2,causal_multiscale_reasoning,synthesis,answer,32,0.9630,0.8000
2,causal_multiscale_reasoning,synthesis,answer,36,0.7456,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,0,0.6871,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,1,0.9619,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,2,0.9629,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,3,0.9551,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,4,0.9478,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,5,0.9563,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,6,0.9586,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,7,0.1571,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,8,0.1789,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,9,0.1916,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,10,0.2125,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,20,0.4322,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,21,0.4536,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,22,0.4633,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,23,0.4937,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,24,0.5589,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,28,0.7338,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,29,0.7624,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,30,0.7935,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,31,0.8267,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,32,0.8509,0.8000
2,causal_multiscale_reasoning,brainstorm,answer,36,0.8643,0.8000
2,causal_multiscale_reasoning,graph,answer,0,0.6470,0.8000
2,causal_multiscale_reasoning,graph,answer,1,0.9598,0.8000
2,causal_multiscale_reasoning,graph,answer,2,0.9597,0.8000
2,causal_multiscale_reasoning,graph,answer,3,0.9556,0.8000
2,causal_multiscale_reasoning,graph,answer,4,0.9462,0.8000
2,causal_multiscale_reasoning,graph,answer,5,0.9555,0.8000
2,causal_multiscale_reasoning,graph,answer,6,0.9604,0.8000
2,causal_multiscale_reasoning,graph,answer,7,0.9616,0.8000
2,causal_multiscale_reasoning,graph,answer,8,0.9545,0.8000
2,causal_multiscale_reasoning,graph,answer,9,0.9475,0.8000
2,causal_multiscale_reasoning,graph,answer,10,0.9398,0.8000
2,causal_multiscale_reasoning,graph,answer,20,0.8747,0.8000
2,causal_multiscale_reasoning,graph,answer,21,0.8807,0.8000
2,causal_multiscale_reasoning,graph,answer,22,0.8657,0.8000
2,causal_multiscale_reasoning,graph,answer,23,0.8553,0.8000
2,causal_multiscale_reasoning,graph,answer,24,0.8620,0.8000
2,causal_multiscale_reasoning,graph,answer,28,0.9200,0.8000
2,causal_multiscale_reasoning,graph,answer,29,0.9260,0.8000
2,causal_multiscale_reasoning,graph,answer,30,0.9360,0.8000
2,causal_multiscale_reasoning,graph,answer,31,0.9462,0.8000
2,causal_multiscale_reasoning,graph,answer,32,0.9546,0.8000
2,causal_multiscale_reasoning,graph,answer,36,0.8712,0.8000
3,hidden_variable_identification,graph,synthesis,0,0.6769,0.5455
3,hidden_variable_identification,graph,synthesis,1,0.9637,0.5455
3,hidden_variable_identification,graph,synthesis,2,0.9602,0.5455
3,hidden_variable_identification,graph,synthesis,3,0.9396,0.5455
3,hidden_variable_identification,graph,synthesis,4,0.9433,0.5455
3,hidden_variable_identification,graph,synthesis,5,0.9518,0.5455
3,hidden_variable_identification,graph,synthesis,6,0.9623,0.5455
3,hidden_variable_identification,graph,synthesis,7,0.9658,0.5455
3,hidden_variable_identification,graph,synthesis,8,0.9579,0.5455
3,hidden_variable_identification,graph,synthesis,9,0.9459,0.5455
3,hidden_variable_identification,graph,synthesis,10,0.9443,0.5455
3,hidden_variable_identification,graph,synthesis,20,0.9048,0.5455
3,hidden_variable_identification,graph,synthesis,21,0.9041,0.5455
3,hidden_variable_identification,graph,synthesis,22,0.8859,0.5455
3,hidden_variable_identification,graph,synthesis,23,0.8761,0.5455
3,hidden_variable_identification,graph,synthesis,24,0.8764,0.5455
3,hidden_variable_identification,graph,synthesis,28,0.9166,0.5455
3,hidden_variable_identification,graph,synthesis,29,0.9193,0.5455
3,hidden_variable_identification,graph,synthesis,30,0.9300,0.5455
3,hidden_variable_identification,graph,synthesis,31,0.9404,0.5455
3,hidden_variable_identification,graph,synthesis,32,0.9498,0.5455
3,hidden_variable_identification,graph,synthesis,36,0.7891,0.5455
3,hidden_variable_identification,patterns,synthesis,0,0.7911,0.5455
3,hidden_variable_identification,patterns,synthesis,1,0.9740,0.5455
3,hidden_variable_identification,patterns,synthesis,2,0.9764,0.5455
3,hidden_variable_identification,patterns,synthesis,3,0.9680,0.5455
3,hidden_variable_identification,patterns,synthesis,4,0.9682,0.5455
3,hidden_variable_identification,patterns,synthesis,5,0.9748,0.5455
3,hidden_variable_identification,patterns,synthesis,6,0.9794,0.5455
3,hidden_variable_identification,patterns,synthesis,7,0.9787,0.5455
3,hidden_variable_identification,patterns,synthesis,8,0.9714,0.5455
3,hidden_variable_identification,patterns,synthesis,9,0.9643,0.5455
3,hidden_variable_identification,patterns,synthesis,10,0.9626,0.5455
3,hidden_variable_identification,patterns,synthesis,20,0.9375,0.5455
3,hidden_variable_identification,patterns,synthesis,21,0.9385,0.5455
3,hidden_variable_identification,patterns,synthesis,22,0.9301,0.5455
3,hidden_variable_identification,patterns,synthesis,23,0.9240,0.5455
3,hidden_variable_identification,patterns,synthesis,24,0.9258,0.5455
3,hidden_variable_identification,patterns,synthesis,28,0.9523,0.5455
3,hidden_variable_identification,patterns,synthesis,29,0.9525,0.5455
3,hidden_variable_identification,patterns,synthesis,30,0.9592,0.5455
3,hidden_variable_identification,patterns,synthesis,31,0.9665,0.5455
3,hidden_variable_identification,patterns,synthesis,32,0.9710,0.5455
3,hidden_variable_identification,patterns,synthesis,36,0.9461,0.5455
3,hidden_variable_identification,synthesis,answer,0,0.7688,0.5455
3,hidden_variable_identification,synthesis,answer,1,0.9787,0.5455
3,hidden_variable_identification,synthesis,answer,2,0.9744,0.5455
3,hidden_variable_identification,synthesis,answer,3,0.9720,0.5455
3,hidden_variable_identification,synthesis,answer,4,0.9716,0.5455
3,hidden_variable_identification,synthesis,answer,5,0.9752,0.5455
3,hidden_variable_identification,synthesis,answer,6,0.9782,0.5455
3,hidden_variable_identification,synthesis,answer,7,0.9778,0.5455
3,hidden_variable_identification,synthesis,answer,8,0.9723,0.5455
3,hidden_variable_identification,synthesis,answer,9,0.9661,0.5455
3,hidden_variable_identification,synthesis,answer,10,0.9645,0.5455
3,hidden_variable_identification,synthesis,answer,20,0.9597,0.5455
3,hidden_variable_identification,synthesis,answer,21,0.9602,0.5455
3,hidden_variable_identification,synthesis,answer,22,0.9526,0.5455
3,hidden_variable_identification,synthesis,answer,23,0.9503,0.5455
3,hidden_variable_identification,synthesis,answer,24,0.9516,0.5455
3,hidden_variable_identification,synthesis,answer,28,0.9667,0.5455
3,hidden_variable_identification,synthesis,answer,29,0.9685,0.5455
3,hidden_variable_identification,synthesis,answer,30,0.9735,0.5455
3,hidden_variable_identification,synthesis,answer,31,0.9775,0.5455
3,hidden_variable_identification,synthesis,answer,32,0.9809,0.5455
3,hidden_variable_identification,synthesis,answer,36,0.8910,0.5455
3,hidden_variable_identification,brainstorm,answer,0,0.6775,0.5455
3,hidden_variable_identification,brainstorm,answer,1,0.9614,0.5455
3,hidden_variable_identification,brainstorm,answer,2,0.9592,0.5455
3,hidden_variable_identification,brainstorm,answer,3,0.9477,0.5455
3,hidden_variable_identification,brainstorm,answer,4,0.9402,0.5455
3,hidden_variable_identification,brainstorm,answer,5,0.9506,0.5455
3,hidden_variable_identification,brainstorm,answer,6,0.9557,0.5455
3,hidden_variable_identification,brainstorm,answer,7,0.1524,0.5455
3,hidden_variable_identification,brainstorm,answer,8,0.1764,0.5455
3,hidden_variable_identification,brainstorm,answer,9,0.1884,0.5455
3,hidden_variable_identification,brainstorm,answer,10,0.2060,0.5455
3,hidden_variable_identification,brainstorm,answer,20,0.4314,0.5455
3,hidden_variable_identification,brainstorm,answer,21,0.4546,0.5455
3,hidden_variable_identification,brainstorm,answer,22,0.4541,0.5455
3,hidden_variable_identification,brainstorm,answer,23,0.4938,0.5455
3,hidden_variable_identification,brainstorm,answer,24,0.5590,0.5455
3,hidden_variable_identification,brainstorm,answer,28,0.7154,0.5455
3,hidden_variable_identification,brainstorm,answer,29,0.7426,0.5455
3,hidden_variable_identification,brainstorm,answer,30,0.7755,0.5455
3,hidden_variable_identification,brainstorm,answer,31,0.8108,0.5455
3,hidden_variable_identification,brainstorm,answer,32,0.8374,0.5455
3,hidden_variable_identification,brainstorm,answer,36,0.8603,0.5455
3,hidden_variable_identification,graph,answer,0,0.6338,0.5455
3,hidden_variable_identification,graph,answer,1,0.9625,0.5455
3,hidden_variable_identification,graph,answer,2,0.9585,0.5455
3,hidden_variable_identification,graph,answer,3,0.9513,0.5455
3,hidden_variable_identification,graph,answer,4,0.9455,0.5455
3,hidden_variable_identification,graph,answer,5,0.9510,0.5455
