id,question_type,layer,stage,reasoning_answer_cosine_distance,reasoning_answer_cosine_similarity
0,cross_domain_mapping,18,patterns,0.008541,0.991459
0,cross_domain_mapping,19,patterns,0.010283,0.989717
0,cross_domain_mapping,20,patterns,0.013468,0.986532
0,cross_domain_mapping,21,patterns,0.014453,0.985547
0,cross_domain_mapping,22,patterns,0.017171,0.982829
0,cross_domain_mapping,23,patterns,0.021703,0.978297
0,cross_domain_mapping,24,patterns,0.025241,0.974759
0,cross_domain_mapping,25,patterns,0.024129,0.975871
0,cross_domain_mapping,26,patterns,0.024906,0.975094
0,cross_domain_mapping,27,patterns,0.02508,0.97492
0,cross_domain_mapping,28,patterns,0.027395,0.972605
0,cross_domain_mapping,29,patterns,0.027861,0.972139
0,cross_domain_mapping,30,patterns,0.025513,0.974487
0,cross_domain_mapping,31,patterns,0.024475,0.975525
0,cross_domain_mapping,32,patterns,0.022459,0.977541
0,cross_domain_mapping,33,patterns,0.02194,0.97806
0,cross_domain_mapping,34,patterns,0.018487,0.981513
0,cross_domain_mapping,35,patterns,0.011471,0.988529
0,cross_domain_mapping,36,patterns,0.191561,0.808439
0,cross_domain_mapping,0,synthesis,0.084065,0.915935
0,cross_domain_mapping,1,synthesis,0.009404,0.990596
0,cross_domain_mapping,2,synthesis,0.008995,0.991005
0,cross_domain_mapping,3,synthesis,0.009969,0.990031
0,cross_domain_mapping,4,synthesis,0.011118,0.988882
0,cross_domain_mapping,5,synthesis,0.009438,0.990562
0,cross_domain_mapping,6,synthesis,0.007811,0.992189
0,cross_domain_mapping,7,synthesis,0.000754,0.999246
0,cross_domain_mapping,8,synthesis,0.001031,0.998969
0,cross_domain_mapping,9,synthesis,0.001439,0.998561
0,cross_domain_mapping,10,synthesis,0.001548,0.998452
0,cross_domain_mapping,11,synthesis,0.001655,0.998345
0,cross_domain_mapping,12,synthesis,0.001915,0.998085
0,cross_domain_mapping,13,synthesis,0.00188,0.99812
0,cross_domain_mapping,14,synthesis,0.002043,0.997957
0,cross_domain_mapping,15,synthesis,0.002155,0.997845
0,cross_domain_mapping,16,synthesis,0.002394,0.997606
0,cross_domain_mapping,17,synthesis,0.002466,0.997534
0,cross_domain_mapping,18,synthesis,0.002686,0.997314
0,cross_domain_mapping,19,synthesis,0.003026,0.996974
0,cross_domain_mapping,20,synthesis,0.00372,0.99628
0,cross_domain_mapping,21,synthesis,0.00402,0.99598
0,cross_domain_mapping,22,synthesis,0.004741,0.995259
0,cross_domain_mapping,23,synthesis,0.005726,0.994274
0,cross_domain_mapping,24,synthesis,0.006746,0.993254
0,cross_domain_mapping,25,synthesis,0.006443,0.993557
0,cross_domain_mapping,26,synthesis,0.006885,0.993115
0,cross_domain_mapping,27,synthesis,0.006951,0.993049
0,cross_domain_mapping,28,synthesis,0.007424,0.992576
0,cross_domain_mapping,29,synthesis,0.007724,0.992276
0,cross_domain_mapping,30,synthesis,0.007113,0.992887
0,cross_domain_mapping,31,synthesis,0.006637,0.993363
0,cross_domain_mapping,32,synthesis,0.006548,0.993452
0,cross_domain_mapping,33,synthesis,0.00651,0.99349
0,cross_domain_mapping,34,synthesis,0.00559,0.99441
0,cross_domain_mapping,35,synthesis,0.003735,0.996265
0,cross_domain_mapping,36,synthesis,0.031256,0.968744
0,cross_domain_mapping,0,reasoning,0.114007,0.885993
0,cross_domain_mapping,1,reasoning,0.009946,0.990054
0,cross_domain_mapping,2,reasoning,0.010579,0.989421
0,cross_domain_mapping,3,reasoning,0.012437,0.987563
0,cross_domain_mapping,4,reasoning,0.014343,0.985657
0,cross_domain_mapping,5,reasoning,0.012919,0.987081
0,cross_domain_mapping,6,reasoning,0.010917,0.989083
0,cross_domain_mapping,7,reasoning,0.001121,0.998879
0,cross_domain_mapping,8,reasoning,0.001569,0.998431
0,cross_domain_mapping,9,reasoning,0.002162,0.997838
0,cross_domain_mapping,10,reasoning,0.0024,0.9976
0,cross_domain_mapping,11,reasoning,0.002813,0.997187
0,cross_domain_mapping,12,reasoning,0.003401,0.996599
0,cross_domain_mapping,13,reasoning,0.003578,0.996422
0,cross_domain_mapping,14,reasoning,0.003881,0.996119
0,cross_domain_mapping,15,reasoning,0.004246,0.995754
0,cross_domain_mapping,16,reasoning,0.004705,0.995295
0,cross_domain_mapping,17,reasoning,0.005019,0.994981
0,cross_domain_mapping,18,reasoning,0.005855,0.994145
0,cross_domain_mapping,19,reasoning,0.00693,0.99307
0,cross_domain_mapping,20,reasoning,0.008858,0.991142
0,cross_domain_mapping,21,reasoning,0.009869,0.990131
0,cross_domain_mapping,22,reasoning,0.011909,0.988091
0,cross_domain_mapping,23,reasoning,0.015357,0.984643
0,cross_domain_mapping,24,reasoning,0.01809,0.98191
0,cross_domain_mapping,25,reasoning,0.017767,0.982233
0,cross_domain_mapping,26,reasoning,0.018218,0.981782
0,cross_domain_mapping,27,reasoning,0.018395,0.981605
0,cross_domain_mapping,28,reasoning,0.020177,0.979823
0,cross_domain_mapping,29,reasoning,0.02105,0.97895
0,cross_domain_mapping,30,reasoning,0.019153,0.980847
0,cross_domain_mapping,31,reasoning,0.018579,0.981421
0,cross_domain_mapping,32,reasoning,0.016828,0.983172
0,cross_domain_mapping,33,reasoning,0.016141,0.983859
0,cross_domain_mapping,34,reasoning,0.013436,0.986564
0,cross_domain_mapping,35,reasoning,0.008181,0.991819
0,cross_domain_mapping,36,reasoning,0.127189,0.872811
1,cross_domain_mapping,0,brainstorm,0.062818,0.937182
1,cross_domain_mapping,1,brainstorm,0.007964,0.992036
1,cross_domain_mapping,2,brainstorm,0.009366,0.990634
1,cross_domain_mapping,3,brainstorm,0.014116,0.985884
1,cross_domain_mapping,4,brainstorm,0.019786,0.980214
1,cross_domain_mapping,5,brainstorm,0.017211,0.982789
1,cross_domain_mapping,6,brainstorm,0.014279,0.985721
1,cross_domain_mapping,7,brainstorm,0.001236,0.998764
1,cross_domain_mapping,8,brainstorm,0.002221,0.997779
1,cross_domain_mapping,9,brainstorm,0.002956,0.997044
1,cross_domain_mapping,10,brainstorm,0.003559,0.996441
1,cross_domain_mapping,11,brainstorm,0.0041,0.9959
1,cross_domain_mapping,12,brainstorm,0.004852,0.995148
1,cross_domain_mapping,13,brainstorm,0.00496,0.99504
1,cross_domain_mapping,14,brainstorm,0.005751,0.994249
1,cross_domain_mapping,15,brainstorm,0.006325,0.993675
1,cross_domain_mapping,16,brainstorm,0.006954,0.993046
1,cross_domain_mapping,17,brainstorm,0.007397,0.992603
1,cross_domain_mapping,18,brainstorm,0.009131,0.990869
1,cross_domain_mapping,19,brainstorm,0.010695,0.989305
1,cross_domain_mapping,20,brainstorm,0.014571,0.985429
1,cross_domain_mapping,21,brainstorm,0.01744,0.98256
1,cross_domain_mapping,22,brainstorm,0.02481,0.97519
1,cross_domain_mapping,23,brainstorm,0.03326,0.96674
1,cross_domain_mapping,24,brainstorm,0.040114,0.959886
1,cross_domain_mapping,25,brainstorm,0.034491,0.965509
1,cross_domain_mapping,26,brainstorm,0.035704,0.964296
1,cross_domain_mapping,27,brainstorm,0.037455,0.962545
1,cross_domain_mapping,28,brainstorm,0.038725,0.961275
1,cross_domain_mapping,29,brainstorm,0.03715,0.96285
1,cross_domain_mapping,30,brainstorm,0.030491,0.969509
1,cross_domain_mapping,31,brainstorm,0.027448,0.972552
1,cross_domain_mapping,32,brainstorm,0.023683,0.976317
1,cross_domain_mapping,33,brainstorm,0.021498,0.978502
1,cross_domain_mapping,34,brainstorm,0.018887,0.981113
1,cross_domain_mapping,35,brainstorm,0.012028,0.987972
1,cross_domain_mapping,36,brainstorm,0.108328,0.891672
1,cross_domain_mapping,0,graph,0.089386,0.910614
1,cross_domain_mapping,1,graph,0.011266,0.988734
1,cross_domain_mapping,2,graph,0.012911,0.987089
1,cross_domain_mapping,3,graph,0.015874,0.984126
1,cross_domain_mapping,4,graph,0.017148,0.982852
1,cross_domain_mapping,5,graph,0.013846,0.986154
1,cross_domain_mapping,6,graph,0.011501,0.988499
1,cross_domain_mapping,7,graph,0.001064,0.998936
1,cross_domain_mapping,8,graph,0.001447,0.998553
1,cross_domain_mapping,9,graph,0.002189,0.997811
1,cross_domain_mapping,10,graph,0.002763,0.997237
1,cross_domain_mapping,11,graph,0.003405,0.996595
1,cross_domain_mapping,12,graph,0.004041,0.995959
1,cross_domain_mapping,13,graph,0.004676,0.995324
1,cross_domain_mapping,14,graph,0.005289,0.994711
1,cross_domain_mapping,15,graph,0.005887,0.994113
1,cross_domain_mapping,16,graph,0.006589,0.993411
1,cross_domain_mapping,17,graph,0.006883,0.993117
1,cross_domain_mapping,18,graph,0.008412,0.991588
1,cross_domain_mapping,19,graph,0.009793,0.990207
1,cross_domain_mapping,20,graph,0.012729,0.987271
1,cross_domain_mapping,21,graph,0.014207,0.985793
1,cross_domain_mapping,22,graph,0.016791,0.983209
1,cross_domain_mapping,23,graph,0.020926,0.979074
1,cross_domain_mapping,24,graph,0.02346,0.97654
1,cross_domain_mapping,25,graph,0.023749,0.976251
1,cross_domain_mapping,26,graph,0.024271,0.975729
1,cross_domain_mapping,27,graph,0.024416,0.975584
1,cross_domain_mapping,28,graph,0.025619,0.974381
1,cross_domain_mapping,29,graph,0.026183,0.973817
1,cross_domain_mapping,30,graph,0.023907,0.976093
1,cross_domain_mapping,31,graph,0.022432,0.977568
1,cross_domain_mapping,32,graph,0.02007,0.97993
1,cross_domain_mapping,33,graph,0.018003,0.981997
1,cross_domain_mapping,34,graph,0.014636,0.985364
1,cross_domain_mapping,35,graph,0.008799,0.991201
1,cross_domain_mapping,36,graph,0.097618,0.902382
1,cross_domain_mapping,0,patterns,0.174705,0.825295
1,cross_domain_mapping,1,patterns,0.021064,0.978936
1,cross_domain_mapping,2,patterns,0.02286,0.97714
1,cross_domain_mapping,3,patterns,0.027042,0.972958
1,cross_domain_mapping,4,patterns,0.031512,0.968488
1,cross_domain_mapping,5,patterns,0.024986,0.975014
1,cross_domain_mapping,6,patterns,0.021047,0.978953
1,cross_domain_mapping,7,patterns,0.001815,0.998185
1,cross_domain_mapping,8,patterns,0.002374,0.997626
1,cross_domain_mapping,9,patterns,0.002991,0.997009
1,cross_domain_mapping,10,patterns,0.003408,0.996592
1,cross_domain_mapping,11,patterns,0.004055,0.995945
1,cross_domain_mapping,12,patterns,0.004707,0.995293
1,cross_domain_mapping,13,patterns,0.005145,0.994855
1,cross_domain_mapping,14,patterns,0.005703,0.994297
1,cross_domain_mapping,15,patterns,0.006055,0.993945
1,cross_domain_mapping,16,patterns,0.006775,0.993225
1,cross_domain_mapping,17,patterns,0.007221,0.992779
1,cross_domain_mapping,18,patterns,0.008682,0.991318
1,cross_domain_mapping,19,patterns,0.010156,0.989844
1,cross_domain_mapping,20,patterns,0.013275,0.986725
1,cross_domain_mapping,21,patterns,0.01463,0.98537
1,cross_domain_mapping,22,patterns,0.017246,0.982754
1,cross_domain_mapping,23,patterns,0.022508,0.977492
1,cross_domain_mapping,24,patterns,0.026011,0.973989
1,cross_domain_mapping,25,patterns,0.024924,0.975076
1,cross_domain_mapping,26,patterns,0.026407,0.973593
1,cross_domain_mapping,27,patterns,0.026673,0.973327
1,cross_domain_mapping,28,patterns,0.028822,0.971178
1,cross_domain_mapping,29,patterns,0.028895,0.971105
1,cross_domain_mapping,30,patterns,0.026672,0.973328
1,cross_domain_mapping,31,patterns,0.025517,0.974483
1,cross_domain_mapping,32,patterns,0.023223,0.976777
1,cross_domain_mapping,33,patterns,0.021646,0.978354
1,cross_domain_mapping,34,patterns,0.018349,0.981651
1,cross_domain_mapping,35,patterns,0.011596,0.988404
1,cross_domain_mapping,36,patterns,0.22778,0.77222
1,cross_domain_mapping,0,synthesis,0.068716,0.931284
1,cross_domain_mapping,1,synthesis,0.009969,0.990031
1,cross_domain_mapping,2,synthesis,0.009966,0.990034
1,cross_domain_mapping,3,synthesis,0.011038,0.988962
1,cross_domain_mapping,4,synthesis,0.011852,0.988148
1,cross_domain_mapping,5,synthesis,0.01003,0.98997
1,cross_domain_mapping,6,synthesis,0.008865,0.991135
1,cross_domain_mapping,7,synthesis,0.000949,0.999051
1,cross_domain_mapping,8,synthesis,0.001366,0.998634
1,cross_domain_mapping,9,synthesis,0.002011,0.997989
1,cross_domain_mapping,10,synthesis,0.002475,0.997525
1,cross_domain_mapping,11,synthesis,0.002942,0.997058
1,cross_domain_mapping,12,synthesis,0.00341,0.99659
1,cross_domain_mapping,13,synthesis,0.003803,0.996197
1,cross_domain_mapping,14,synthesis,0.004131,0.995869
1,cross_domain_mapping,15,synthesis,0.004579,0.995421
1,cross_domain_mapping,16,synthesis,0.004959,0.995041
1,cross_domain_mapping,17,synthesis,0.00519,0.99481
1,cross_domain_mapping,18,synthesis,0.005868,0.994132
1,cross_domain_mapping,19,synthesis,0.00655,0.99345
1,cross_domain_mapping,20,synthesis,0.008129,0.991871
1,cross_domain_mapping,21,synthesis,0.009022,0.990978
1,cross_domain_mapping,22,synthesis,0.010577,0.989423
1,cross_domain_mapping,23,synthesis,0.01301,0.98699
1,cross_domain_mapping,24,synthesis,0.016777,0.983223
1,cross_domain_mapping,25,synthesis,0.01627,0.98373
1,cross_domain_mapping,26,synthesis,0.017653,0.982347
1,cross_domain_mapping,27,synthesis,0.017996,0.982004
1,cross_domain_mapping,28,synthesis,0.018877,0.981123
1,cross_domain_mapping,29,synthesis,0.019332,0.980668
1,cross_domain_mapping,30,synthesis,0.017794,0.982206
1,cross_domain_mapping,31,synthesis,0.015927,0.984073
1,cross_domain_mapping,32,synthesis,0.014266,0.985734
1,cross_domain_mapping,33,synthesis,0.013016,0.986984
1,cross_domain_mapping,34,synthesis,0.01051,0.98949
1,cross_domain_mapping,35,synthesis,0.00621,0.99379
1,cross_domain_mapping,36,synthesis,0.044514,0.955486
1,cross_domain_mapping,0,reasoning,0.142799,0.857201
1,cross_domain_mapping,1,reasoning,0.014274,0.985726
1,cross_domain_mapping,2,reasoning,0.016122,0.983878
1,cross_domain_mapping,3,reasoning,0.020099,0.979901
1,cross_domain_mapping,4,reasoning,0.022153,0.977847
1,cross_domain_mapping,5,reasoning,0.017146,0.982854
1,cross_domain_mapping,6,reasoning,0.014507,0.985493
1,cross_domain_mapping,7,reasoning,0.001297,0.998703
1,cross_domain_mapping,8,reasoning,0.001743,0.998257
1,cross_domain_mapping,9,reasoning,0.002428,0.997572
1,cross_domain_mapping,10,reasoning,0.002991,0.997009
1,cross_domain_mapping,11,reasoning,0.003538,0.996462
1,cross_domain_mapping,12,reasoning,0.004201,0.995799
1,cross_domain_mapping,13,reasoning,0.004638,0.995362
1,cross_domain_mapping,14,reasoning,0.005239,0.994761
1,cross_domain_mapping,15,reasoning,0.005422,0.994578
1,cross_domain_mapping,16,reasoning,0.006106,0.993894
1,cross_domain_mapping,17,reasoning,0.006543,0.993457
1,cross_domain_mapping,18,reasoning,0.007616,0.992384
1,cross_domain_mapping,19,reasoning,0.00898,0.99102
1,cross_domain_mapping,20,reasoning,0.012551,0.987449
1,cross_domain_mapping,21,reasoning,0.013965,0.986035
1,cross_domain_mapping,22,reasoning,0.01677,0.98323
1,cross_domain_mapping,23,reasoning,0.021562,0.978438
1,cross_domain_mapping,24,reasoning,0.023836,0.976164
1,cross_domain_mapping,25,reasoning,0.02318,0.97682
1,cross_domain_mapping,26,reasoning,0.023647,0.976353
1,cross_domain_mapping,27,reasoning,0.02349,0.97651
1,cross_domain_mapping,28,reasoning,0.024504,0.975496
1,cross_domain_mapping,29,reasoning,0.024721,0.975279
1,cross_domain_mapping,30,reasoning,0.02256,0.97744
1,cross_domain_mapping,31,reasoning,0.021068,0.978932
1,cross_domain_mapping,32,reasoning,0.018835,0.981165
1,cross_domain_mapping,33,reasoning,0.017511,0.982489
1,cross_domain_mapping,34,reasoning,0.014301,0.985699
1,cross_domain_mapping,35,reasoning,0.00881,0.99119
1,cross_domain_mapping,36,reasoning,0.140802,0.859198
2,causal_multiscale_reasoning,0,brainstorm,0.216184,0.783816
2,causal_multiscale_reasoning,1,brainstorm,0.016778,0.983222
2,causal_multiscale_reasoning,2,brainstorm,0.015733,0.984267
2,causal_multiscale_reasoning,3,brainstorm,0.018979,0.981021
2,causal_multiscale_reasoning,4,brainstorm,0.023933,0.976067
2,causal_multiscale_reasoning,5,brainstorm,0.0237,0.9763
2,causal_multiscale_reasoning,6,brainstorm,0.018596,0.981404
2,causal_multiscale_reasoning,7,brainstorm,0.001616,0.998384
2,causal_multiscale_reasoning,8,brainstorm,0.002414,0.997586
2,causal_multiscale_reasoning,9,brainstorm,0.003027,0.996973
2,causal_multiscale_reasoning,10,brainstorm,0.003493,0.996507
2,causal_multiscale_reasoning,11,brainstorm,0.003959,0.996041
2,causal_multiscale_reasoning,12,brainstorm,0.004481,0.995519
2,causal_multiscale_reasoning,13,brainstorm,0.004957,0.995043
2,causal_multiscale_reasoning,14,brainstorm,0.005913,0.994087
2,causal_multiscale_reasoning,15,brainstorm,0.006981,0.993019
2,causal_multiscale_reasoning,16,brainstorm,0.007479,0.992521
2,causal_multiscale_reasoning,17,brainstorm,0.00843,0.99157
2,causal_multiscale_reasoning,18,brainstorm,0.01024,0.98976
2,causal_multiscale_reasoning,19,brainstorm,0.012089,0.987911
2,causal_multiscale_reasoning,20,brainstorm,0.016262,0.983738
2,causal_multiscale_reasoning,21,brainstorm,0.019029,0.980971
2,causal_multiscale_reasoning,22,brainstorm,0.025291,0.974709
2,causal_multiscale_reasoning,23,brainstorm,0.034541,0.965459
2,causal_multiscale_reasoning,24,brainstorm,0.040386,0.959614
2,causal_multiscale_reasoning,25,brainstorm,0.034913,0.965087
2,causal_multiscale_reasoning,26,brainstorm,0.035421,0.964579
2,causal_multiscale_reasoning,27,brainstorm,0.037528,0.962472
2,causal_multiscale_reasoning,28,brainstorm,0.039167,0.960833
2,causal_multiscale_reasoning,29,brainstorm,0.039939,0.960061
2,causal_multiscale_reasoning,30,brainstorm,0.033597,0.966403
2,causal_multiscale_reasoning,31,brainstorm,0.032145,0.967855
2,causal_multiscale_reasoning,32,brainstorm,0.028461,0.971539
2,causal_multiscale_reasoning,33,brainstorm,0.026475,0.973525
2,causal_multiscale_reasoning,34,brainstorm,0.02374,0.97626
2,causal_multiscale_reasoning,35,brainstorm,0.015492,0.984508
2,causal_multiscale_reasoning,36,brainstorm,0.155069,0.844931
2,causal_multiscale_reasoning,0,graph,0.196922,0.803078
2,causal_multiscale_reasoning,1,graph,0.016269,0.983731
2,causal_multiscale_reasoning,2,graph,0.016874,0.983126
2,causal_multiscale_reasoning,3,graph,0.021632,0.978368
2,causal_multiscale_reasoning,4,graph,0.027796,0.972204
2,causal_multiscale_reasoning,5,graph,0.028845,0.971155
2,causal_multiscale_reasoning,6,graph,0.02224,0.97776
2,causal_multiscale_reasoning,7,graph,0.001941,0.998059
2,causal_multiscale_reasoning,8,graph,0.002647,0.997353
2,causal_multiscale_reasoning,9,graph,0.003393,0.996607
2,causal_multiscale_reasoning,10,graph,0.003973,0.996027
2,causal_multiscale_reasoning,11,graph,0.004484,0.995516
2,causal_multiscale_reasoning,12,graph,0.005167,0.994833
2,causal_multiscale_reasoning,13,graph,0.005709,0.994291
2,causal_multiscale_reasoning,14,graph,0.006354,0.993646
2,causal_multiscale_reasoning,15,graph,0.007134,0.992866
2,causal_multiscale_reasoning,16,graph,0.007836,0.992164
2,causal_multiscale_reasoning,17,graph,0.014838,0.985162
2,causal_multiscale_reasoning,18,graph,0.016219,0.983781
2,causal_multiscale_reasoning,19,graph,0.017945,0.982055
2,causal_multiscale_reasoning,20,graph,0.023107,0.976893
2,causal_multiscale_reasoning,21,graph,0.023734,0.976266
2,causal_multiscale_reasoning,22,graph,0.027078,0.972922
2,causal_multiscale_reasoning,23,graph,0.034997,0.965003
2,causal_multiscale_reasoning,24,graph,0.039657,0.960343
2,causal_multiscale_reasoning,25,graph,0.038166,0.961834
2,causal_multiscale_reasoning,26,graph,0.038933,0.961067
2,causal_multiscale_reasoning,27,graph,0.039942,0.960058
2,causal_multiscale_reasoning,28,graph,0.043112,0.956888
2,causal_multiscale_reasoning,29,graph,0.044195,0.955805
2,causal_multiscale_reasoning,30,graph,0.039733,0.960267
2,causal_multiscale_reasoning,31,graph,0.038421,0.961579
2,causal_multiscale_reasoning,32,graph,0.034366,0.965634
2,causal_multiscale_reasoning,33,graph,0.032018,0.967982
2,causal_multiscale_reasoning,34,graph,0.026324,0.973676
2,causal_multiscale_reasoning,35,graph,0.015867,0.984133
2,causal_multiscale_reasoning,36,graph,0.184982,0.815018
2,causal_multiscale_reasoning,0,patterns,0.218819,0.781181
2,causal_multiscale_reasoning,1,patterns,0.027998,0.972002
2,causal_multiscale_reasoning,2,patterns,0.025829,0.974171
2,causal_multiscale_reasoning,3,patterns,0.032637,0.967363
2,causal_multiscale_reasoning,4,patterns,0.039346,0.960654
2,causal_multiscale_reasoning,5,patterns,0.036582,0.963418
2,causal_multiscale_reasoning,6,patterns,0.028936,0.971064
2,causal_multiscale_reasoning,7,patterns,0.002356,0.997644
2,causal_multiscale_reasoning,8,patterns,0.003104,0.996896
2,causal_multiscale_reasoning,9,patterns,0.004084,0.995916
2,causal_multiscale_reasoning,10,patterns,0.004899,0.995101
2,causal_multiscale_reasoning,11,patterns,0.005578,0.994422
2,causal_multiscale_reasoning,12,patterns,0.006432,0.993568
2,causal_multiscale_reasoning,13,patterns,0.007016,0.992984
2,causal_multiscale_reasoning,14,patterns,0.007737,0.992263
2,causal_multiscale_reasoning,15,patterns,0.008467,0.991533
2,causal_multiscale_reasoning,16,patterns,0.009333,0.990667
2,causal_multiscale_reasoning,17,patterns,0.014306,0.985694
2,causal_multiscale_reasoning,18,patterns,0.01577,0.98423
2,causal_multiscale_reasoning,19,patterns,0.01745,0.98255
2,causal_multiscale_reasoning,20,patterns,0.022548,0.977452
2,causal_multiscale_reasoning,21,patterns,0.023524,0.976476
2,causal_multiscale_reasoning,22,patterns,0.026114,0.973886
2,causal_multiscale_reasoning,23,patterns,0.032876,0.967124
2,causal_multiscale_reasoning,24,patterns,0.036869,0.963131
2,causal_multiscale_reasoning,25,patterns,0.036276,0.963724
2,causal_multiscale_reasoning,26,patterns,0.037524,0.962476
2,causal_multiscale_reasoning,27,patterns,0.038003,0.961997
2,causal_multiscale_reasoning,28,patterns,0.04198,0.95802
2,causal_multiscale_reasoning,29,patterns,0.043178,0.956822
2,causal_multiscale_reasoning,30,patterns,0.039439,0.960561
2,causal_multiscale_reasoning,31,patterns,0.039005,0.960995
